season,hood,m_hood,cnt
Summer,Murray Hill,New York City-Manhattan	,2554309
Summer,Clinton,New York City-Manhattan	,2459338
Summer,East Village,New York City-Manhattan	,2243262
Summer,Financial District,New York City-Manhattan	,1794459
Summer,West Village,New York City-Manhattan	,1703876
Summer,Soho,New York City-Manhattan	,1507547
Summer,Lower East Side,New York City-Manhattan	,1496706
Summer,Tribeca,New York City-Manhattan	,1097978
Summer,Central Park,New York City-Manhattan	,894245
Summer,Harlem,New York City-Manhattan	,782485
Summer,Carnegie Hill,New York City-Manhattan	,727946
Summer,Yorkville,New York City-Manhattan	,722946
Summer,Battery Park,New York City-Manhattan	,711238
Summer,Astoria-Long Island City,New York City-Queens	,648308
Summer,Williamsburg,New York City-Brooklyn	,611545
Summer,North Sutton Area,New York City-Manhattan	,562130
Summer,Fort Green,New York City-Brooklyn	,488777
Summer,Little Italy,New York City-Manhattan	,474087
Summer,Morningside Heights,New York City-Manhattan	,469568
Summer,East Harlem,New York City-Manhattan	,435169
Summer,Sunny Side,New York City-Queens	,407895
Summer,Washington Heights,New York City-Manhattan	,406808
Summer,Bedford-Stuyvesant,New York City-Brooklyn	,325893
Summer,Park Slope,New York City-Brooklyn	,290983
Summer,Hamilton Heights,New York City-Manhattan	,274491
Summer,Chinatown,New York City-Manhattan	,244405
Summer,Downtown,New York City-Brooklyn	,190830
Summer,Jackson Heights,New York City-Queens	,178840
Summer,Bushwick,New York City-Brooklyn	,168082
Summer,Carroll Gardens,New York City-Brooklyn	,141836
Summer,Woodside,New York City-Queens	,116158
Summer,Boerum Hill,New York City-Brooklyn	,114510
Summer,Forest Hills,New York City-Queens	,112743
Summer,Mott Haven,New York City-Bronx	,63350
Summer,Bay Ridge,New York City-Brooklyn	,63331
Summer,Cobble Hill,New York City-Brooklyn	,62527
Summer,Inwood,New York City-Manhattan	,58974
Summer,Mapleton-Flatlands,New York City-Brooklyn	,57621
Summer,South Bronx,New York City-Bronx	,56683
Summer,Borough Park,New York City-Brooklyn	,51687
Summer,Ridgewood,New York City-Queens	,47359
Summer,High Bridge,New York City-Bronx	,47168
Summer,Nkew Gardens,New York City-Queens	,46158
Summer,Flushing,New York City-Queens	,46025
Summer,Greenwood,New York City-Brooklyn	,44784
Summer,Gravesend-Sheepshead Bay,New York City-Brooklyn	,43582
Summer,Sunset Park,New York City-Brooklyn	,42250
Summer,Jamaica,New York City-Queens	,39951
Summer,Maspeth,New York City-Queens	,34344
Summer,Utopia,New York City-Queens	,34121
Summer,Woodhaven-Richmond Hill,New York City-Queens	,25209
Summer,Middle Village,New York City-Queens	,23000
Summer,Riverdale,New York City-Bronx	,22283
Summer,Canarsie,New York City-Brooklyn	,21643
Summer,East Brooklyn,New York City-Brooklyn	,21466
Summer,Parkchester,New York City-Bronx	,20292
Summer,Bedford Park,New York City-Bronx	,20178
Summer,Bensonhurst,New York City-Brooklyn	,19254
Summer,Tremont,New York City-Bronx	,18830
Summer,Brownsville,New York City-Brooklyn	,18437
Summer,Springfield Gardens,New York City-Queens	,18184
Summer,Kings Bridge,New York City-Bronx	,17551
Summer,Soundview,New York City-Bronx	,17523
Summer,Spuyten Duyvil,New York City-Bronx	,15280
Summer,Fordham,New York City-Bronx	,14610
Summer,Morris Heights,New York City-Bronx	,13953
Summer,Queensboro Hill,New York City-Queens	,13444
Summer,Morris Park,New York City-Bronx	,13369
Summer,University Heights,New York City-Bronx	,13252
Summer,Dyker Heights,New York City-Brooklyn	,12518
Summer,Douglastown-Little Neck,New York City-Queens	,12419
Summer,Glendale,New York City-Queens	,11057
Summer,Auburndale,New York City-Queens	,10558
Summer,Wakefield-Williamsbridge,New York City-Bronx	,9713
Summer,Union Port,New York City-Bronx	,9039
Summer,Saintalbans,New York City-Queens	,8694
Summer,Laurelton,New York City-Queens	,8092
Summer,Woodlawn-Nordwood,New York City-Bronx	,7631
Summer,The Rockaways,New York City-Queens	,7513
Summer,Williams Bridge,New York City-Bronx	,7479
Summer,Queens Village,New York City-Queens	,7268
Summer,Throggs Neck,New York City-Bronx	,7166
Summer,Hunts Point,New York City-Bronx	,7115
Summer,Clearview,New York City-Queens	,6324
Summer,Country Club,New York City-Bronx	,6112
Summer,Baychester,New York City-Bronx	,3049
Summer,City Island,New York City-Bronx	,972
Summer,Corona,New York City-Queens	,775
Summer,Flatbush,New York City-Brooklyn	,377
Summer,Steinway,New York City-Queens	,142
Summer,Whitestone,New York City-Queens	,4
Summer,College Point,New York City-Queens	,1
Winter,Midtown,New York City-Manhattan	,11644986
Winter,Upper East Side,New York City-Manhattan	,9611156
Winter,Upper West Side,New York City-Manhattan	,6176873
Winter,Gramercy,New York City-Manhattan	,5494339
Winter,Chelsea,New York City-Manhattan	,4557038
Winter,Garment District,New York City-Manhattan	,3740185
Winter,Greenwich Village,New York City-Manhattan	,2881488
Winter,Murray Hill,New York City-Manhattan	,2462608
Winter,Clinton,New York City-Manhattan	,2419714
Winter,East Village,New York City-Manhattan	,2410841
Winter,West Village,New York City-Manhattan	,1666066
Winter,Financial District,New York City-Manhattan	,1608137
Winter,Lower East Side,New York City-Manhattan	,1528711
Winter,Soho,New York City-Manhattan	,1518097
Winter,Tribeca,New York City-Manhattan	,1144491
Winter,Carnegie Hill,New York City-Manhattan	,940790
Winter,Central Park,New York City-Manhattan	,912143
Winter,Harlem,New York City-Manhattan	,804798
Winter,Yorkville,New York City-Manhattan	,771801
Winter,Astoria-Long Island City,New York City-Queens	,656246
Winter,Battery Park,New York City-Manhattan	,653980
Winter,Williamsburg,New York City-Brooklyn	,632280
Winter,North Sutton Area,New York City-Manhattan	,620116
Winter,Morningside Heights,New York City-Manhattan	,555077
Winter,Fort Green,New York City-Brooklyn	,525144
Winter,Little Italy,New York City-Manhattan	,485441
Winter,East Harlem,New York City-Manhattan	,439395
Winter,Sunny Side,New York City-Queens	,416514
Winter,Washington Heights,New York City-Manhattan	,403019
Winter,Bedford-Stuyvesant,New York City-Brooklyn	,324399
Winter,Park Slope,New York City-Brooklyn	,307015
Winter,Hamilton Heights,New York City-Manhattan	,276712
Winter,Chinatown,New York City-Manhattan	,230207
Winter,Downtown,New York City-Brooklyn	,185125
Winter,Bushwick,New York City-Brooklyn	,173075
Winter,Jackson Heights,New York City-Queens	,166268
Winter,Carroll Gardens,New York City-Brooklyn	,147875
Winter,Boerum Hill,New York City-Brooklyn	,121237
Winter,Woodside,New York City-Queens	,113914
Winter,Forest Hills,New York City-Queens	,107014
Winter,Cobble Hill,New York City-Brooklyn	,68438
Winter,Mott Haven,New York City-Bronx	,66827
Winter,Bay Ridge,New York City-Brooklyn	,62706
Winter,Inwood,New York City-Manhattan	,57729
Winter,Mapleton-Flatlands,New York City-Brooklyn	,56218
Winter,South Bronx,New York City-Bronx	,56147
Winter,Borough Park,New York City-Brooklyn	,51235
Winter,Ridgewood,New York City-Queens	,48296
Winter,Nkew Gardens,New York City-Queens	,44862
Winter,Greenwood,New York City-Brooklyn	,44564
Winter,Gravesend-Sheepshead Bay,New York City-Brooklyn	,42849
Winter,Sunset Park,New York City-Brooklyn	,39524
Winter,High Bridge,New York City-Bronx	,36961
Winter,Flushing,New York City-Queens	,35286
Winter,Maspeth,New York City-Queens	,34186
Winter,Jamaica,New York City-Queens	,33381
Winter,Utopia,New York City-Queens	,31468
Winter,Riverdale,New York City-Bronx	,23721
Winter,Middle Village,New York City-Queens	,23166
Winter,Woodhaven-Richmond Hill,New York City-Queens	,22590
Winter,Bedford Park,New York City-Bronx	,19909
Winter,Parkchester,New York City-Bronx	,19788
Winter,Bensonhurst,New York City-Brooklyn	,19291
Winter,East Brooklyn,New York City-Brooklyn	,19013
Winter,Canarsie,New York City-Brooklyn	,18907
Winter,Tremont,New York City-Bronx	,18196
Winter,Kings Bridge,New York City-Bronx	,18109
Winter,Soundview,New York City-Bronx	,17038
Winter,Brownsville,New York City-Brooklyn	,16140
Winter,Spuyten Duyvil,New York City-Bronx	,15795
Winter,Fordham,New York City-Bronx	,14311
Winter,Morris Heights,New York City-Bronx	,14060
Winter,University Heights,New York City-Bronx	,14004
Winter,Springfield Gardens,New York City-Queens	,13747
